,name,size,price,url
0,Тактична сорочка Staff camo pixel7,XS S M L XL XXL ,870 грн.,https://www.staff-clothes.com/ua/taktichna-olimpiyka-xsimars-kolir-khaki-5/hh0577
1,Тактичні штани Staff cargo khaki2,XS S M L XL XXL ,1290 грн.,https://www.staff-clothes.com/ua/takticheskie-shtany-staff-cargo-haki/snt0429
2,Тактичні штани Staff cargo multicam,XS S M XL XXL ,1330 грн.,https://www.staff-clothes.com/ua/takticheskie-shtany-staff-cargo-multicam/snt0427
3,Тактична сорочка Staff camo pixel,XS S XL XXL ,870 грн.,https://www.staff-clothes.com/ua/taktichna-olimpiyka-xsimars-kolir-khaki-3/aln0197
4,Тактична сорочка Staff multicam,XXL ,870 грн.,https://www.staff-clothes.com/ua/taktichna-olimpiyka-xsimars-kolir-khaki-5/hh0577-1
5,Тактичні штани Staff cargo khaki,XS S M L XL XXL ,1290 грн.,https://www.staff-clothes.com/ua/shtani-taktichni-tactic-002--ripstop-kolir-khaki/snt0428
6,Тактичні штани Staff cargo black,XS S M L XL XXL ,1290 грн.,https://www.staff-clothes.com/ua/takticheskie-shtany-staff-cargo-black/snt0425
7,Тактична футболка Staff khaki,XS S M L XL XXL ,460 грн.,https://www.staff-clothes.com/ua/takticheskaya-futbolka-staff-khaki/hh0576-2
8,Тактичні штани Staff cargo pixel,XS S M XL XXL ,1290 грн.,https://www.staff-clothes.com/ua/takticheskie-shtany-staff-cargo-pixel/snt0426
9,Тактичні штани Staff cargo khaki,L ,1290 грн.,https://www.staff-clothes.com/ua/takticheskie-shtany-staff-cargo-khaki/snt0424
10,Тактичні штани Staff cargo beige,XS S M L XL ,990 грн.,https://www.staff-clothes.com/ua/takticheskie-shtany-staff-cargo-beige/snt0416
11,Тактична сорочка Staff camo,XS L ,590 грн.,https://www.staff-clothes.com/ua/taktichna-futbolka-stugna-kolir-khaki-5/dss0126
12,Тактична сорочка Staff khaki ,XS M L ,670 грн.,https://www.staff-clothes.com/ua/takticheskaya-rubashka-staff-khaki/tsh0769
13,Тактична сорочка Staff khaki2,XS S M L XXL ,590 грн.,https://www.staff-clothes.com/ua/takticheskaya-rubashka-staff-khaki/fot0263
